data,cidade,polo,latitude,longitude,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2MDEW,PRECTOTCORR,WS2M
2015-01-01,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.3,30.05,21.42,74.12,26.83,12.54,20.02,1.87,2.73
2015-01-02,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.1,29.42,21.64,78.51,23.01,10.81,20.77,2.82,3.01
2015-01-03,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.05,26.36,21.11,89.97,15.57,7.45,21.24,5.97,2.04
2015-01-04,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.22,27.26,20.52,85.44,12.64,6.19,20.41,2.0,1.55
2015-01-05,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.41,25.44,20.22,88.11,17.36,8.32,20.23,11.8,1.92
2015-01-06,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.33,28.97,19.09,82.39,22.43,10.52,19.82,9.24,1.62
2015-01-07,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.18,31.44,20.25,76.41,27.63,12.83,20.15,12.72,1.12
2015-01-08,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.32,31.46,20.01,75.49,28.52,13.18,20.13,4.53,1.15
2015-01-09,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.77,33.07,21.36,69.02,29.45,13.56,19.99,0.34,1.16
2015-01-10,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.69,33.05,21.55,68.7,27.91,12.85,19.93,1.48,1.7
2015-01-11,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,27.29,34.42,21.45,64.86,26.5,12.18,19.42,3.13,1.1
2015-01-12,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,27.46,33.57,21.68,69.57,27.09,12.54,20.63,2.92,1.55
2015-01-13,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.98,33.25,22.24,68.12,28.1,12.87,19.91,2.19,1.44
2015-01-14,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.21,31.35,21.62,69.41,20.66,9.61,19.6,4.46,0.99
2015-01-15,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.06,30.4,21.78,77.23,25.49,11.68,20.37,1.75,1.91
2015-01-16,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.4,32.08,21.16,74.59,26.22,12.07,19.8,0.14,1.83
2015-01-17,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.95,35.21,19.68,62.18,28.67,13.06,17.48,0.01,1.44
2015-01-18,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,27.07,35.1,21.25,59.6,26.08,11.96,17.09,0.37,1.35
2015-01-19,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.69,35.2,19.73,59.09,29.37,13.4,16.04,0.45,2.06
2015-01-20,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.91,34.06,20.26,64.31,25.83,11.86,17.13,1.28,1.61
2015-01-21,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.4,31.65,20.97,77.23,16.37,7.73,19.42,5.94,1.97
2015-01-22,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.93,24.57,20.38,90.36,16.16,7.71,20.23,13.17,3.34
2015-01-23,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.89,25.63,19.8,86.26,18.97,8.91,19.3,3.08,2.37
2015-01-24,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.03,29.08,19.03,79.74,20.99,9.83,18.85,3.45,1.56
2015-01-25,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.62,27.36,18.12,79.12,28.42,13.12,18.55,10.47,1.79
2015-01-26,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.26,26.95,19.77,78.66,19.93,9.31,19.1,5.36,1.55
2015-01-27,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.84,28.17,19.4,77.34,20.09,9.36,19.32,5.12,1.52
2015-01-28,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.27,28.92,20.01,74.77,20.88,9.75,19.12,2.08,1.88
2015-01-29,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.91,28.12,20.61,76.25,20.96,9.83,19.2,0.35,3.46
2015-01-30,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.15,25.43,20.41,88.44,15.71,7.51,20.09,5.46,2.84
2015-01-31,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.02,26.34,19.78,87.03,13.53,6.47,19.6,3.28,3.33
2015-02-01,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.67,28.65,19.21,86.57,16.75,8.03,20.08,6.36,2.68
2015-02-02,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.5,25.42,19.06,90.27,14.03,6.8,19.76,5.64,2.19
2015-02-03,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.95,29.2,18.55,77.54,26.55,12.22,18.2,3.24,1.46
2015-02-04,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.66,25.02,19.39,83.7,10.64,5.26,18.63,3.67,1.57
2015-02-05,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.73,24.57,18.06,88.74,5.76,3.03,18.72,24.93,3.51
2015-02-06,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.23,26.26,18.08,84.54,18.58,8.76,18.29,20.02,1.57
2015-02-07,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.93,25.82,17.39,85.38,22.71,10.44,18.19,3.18,1.15
2015-02-08,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.1,27.28,17.81,83.91,22.69,10.43,18.97,1.77,2.09
2015-02-09,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.65,28.85,18.28,84.89,22.55,10.49,19.75,0.81,2.13
2015-02-10,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.17,29.25,20.5,82.72,18.68,8.86,20.74,5.44,1.61
2015-02-11,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.18,30.31,20.46,78.67,23.35,10.86,20.84,1.42,1.58
2015-02-12,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.25,29.52,21.87,80.83,25.92,12.07,21.54,0.61,1.56
2015-02-13,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.54,28.18,21.51,81.05,16.5,7.75,20.88,0.2,1.46
2015-02-14,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.25,27.17,21.03,86.79,21.14,9.83,20.78,0.31,1.49
2015-02-15,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.72,27.53,20.06,84.31,14.87,7.13,19.65,1.51,1.49
2015-02-16,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.09,27.25,19.06,82.88,13.33,6.48,18.67,1.1,1.39
2015-02-17,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.84,27.65,19.96,81.68,13.51,6.5,19.25,12.12,1.45
2015-02-18,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.16,25.23,20.2,86.28,10.23,5.11,19.64,9.87,2.23
2015-02-19,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.21,27.67,19.31,81.4,17.88,8.42,19.6,0.93,2.54
2015-02-20,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.7,27.58,20.72,81.45,16.21,7.62,20.1,0.16,1.72
2015-02-21,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.18,29.73,20.03,80.74,22.68,10.3,20.19,0.09,1.97
2015-02-22,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.56,29.8,19.07,79.51,25.19,11.4,19.24,0.15,2.6
2015-02-23,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.18,30.29,19.45,77.95,25.62,11.8,19.43,2.23,2.07
2015-02-24,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.44,27.74,19.92,80.8,20.54,9.57,19.66,5.88,1.6
2015-02-25,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.0,25.66,19.31,84.18,17.17,8.12,19.08,10.49,2.12
2015-02-26,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.82,27.38,19.1,81.68,23.68,11.0,19.27,2.76,1.48
2015-02-27,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.87,29.57,18.86,77.75,19.85,9.29,19.33,1.78,1.41
2015-02-28,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.72,25.61,18.94,87.23,13.31,6.39,19.39,9.57,3.14
2015-03-01,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.09,26.3,18.17,81.61,21.11,9.59,17.52,1.37,3.79
2015-03-02,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.32,27.74,16.44,78.14,26.37,11.84,16.86,0.01,2.87
2015-03-03,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.9,27.09,17.87,81.93,22.88,10.38,18.3,0.04,2.08
2015-03-04,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.19,29.14,18.53,80.16,22.8,10.46,19.07,0.41,1.84
2015-03-05,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.26,31.12,19.51,77.25,22.19,10.15,19.32,0.13,1.38
2015-03-06,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.89,27.3,20.05,81.76,15.88,7.47,19.27,3.79,1.38
2015-03-07,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.95,25.43,19.65,84.26,10.84,5.32,19.0,26.05,0.84
2015-03-08,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.4,24.25,19.65,91.76,11.26,5.53,19.97,9.97,1.78
2015-03-09,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.46,23.99,19.28,87.37,8.65,4.37,19.21,13.04,1.6
2015-03-10,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.39,27.93,18.52,85.78,14.75,7.03,19.71,5.31,1.89
2015-03-11,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.21,28.22,18.97,83.81,19.29,8.94,20.04,2.36,1.99
2015-03-12,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.97,26.86,19.99,84.96,12.18,5.92,20.14,3.28,1.69
2015-03-13,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.62,26.97,19.55,83.0,15.52,7.35,19.41,9.04,1.35
2015-03-14,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.91,26.35,18.56,86.07,12.7,6.07,19.3,4.34,1.21
2015-03-15,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.55,27.05,19.3,86.48,9.76,4.81,20.02,10.7,0.98
2015-03-16,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.02,26.3,18.75,85.86,15.17,7.12,19.36,18.76,1.28
2015-03-17,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.91,24.99,18.33,84.95,12.83,6.19,18.15,4.03,1.83
2015-03-18,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.6,23.75,18.82,90.85,9.93,4.92,19.0,6.96,1.98
2015-03-19,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.54,23.48,18.85,91.65,12.59,6.06,19.08,4.95,2.33
2015-03-20,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.62,23.24,18.45,90.07,15.54,7.33,18.86,9.27,0.96
