data,cidade,polo,latitude,longitude,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2MDEW,PRECTOTCORR,WS2M,DLI,VPD
2015-01-01,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.086891495601172,28.836891495601172,20.206891495601173,74.12,26.83,12.54,20.02,1.87,2.73,57.3078,0.8270577724809125
2015-01-02,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.886891495601173,28.206891495601173,20.426891495601172,78.51,23.01,10.81,20.77,2.82,3.01,49.401700000000005,0.6611615596324625
2015-01-03,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.836891495601172,25.14689149560117,19.89689149560117,89.97,15.57,7.45,21.24,5.97,2.04,34.0465,0.23559390276094794
2015-01-04,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.00689149560117,26.046891495601173,19.30689149560117,85.44,12.64,6.19,20.41,2.0,1.55,28.288300000000003,0.4070037981247543
2015-01-05,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.19689149560117,24.226891495601173,19.00689149560117,88.11,17.36,8.32,20.23,11.8,1.92,38.022400000000005,0.2397863535820579
2015-01-06,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.11689149560117,27.75689149560117,17.87689149560117,82.39,22.43,10.52,19.82,9.24,1.62,48.0764,0.5750564199069084
2015-01-07,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.96689149560117,30.226891495601173,19.03689149560117,76.41,27.63,12.83,20.15,12.72,1.12,58.633100000000006,0.8904451967284301
2015-01-08,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.10689149560117,30.246891495601172,18.796891495601173,75.49,28.52,13.18,20.13,4.53,1.15,60.232600000000005,0.8794485315285758
2015-01-09,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.55689149560117,31.85689149560117,20.14689149560117,69.02,29.45,13.56,19.99,0.34,1.16,61.96920000000001,1.20120914789001
2015-01-10,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.476891495601173,31.83689149560117,20.336891495601172,68.7,27.91,12.85,19.93,1.48,1.7,58.7245,1.2211403829324574
2015-01-11,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.07689149560117,33.20689149560117,20.23689149560117,64.86,26.5,12.18,19.42,3.13,1.1,55.662600000000005,1.4751692740950566
2015-01-12,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.246891495601172,32.356891495601175,20.46689149560117,69.57,27.09,12.54,20.63,2.92,1.55,57.3078,1.1980755903000246
2015-01-13,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.766891495601172,32.03689149560117,21.02689149560117,68.12,28.1,12.87,19.91,2.19,1.44,58.8159,1.302620723090811
2015-01-14,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.996891495601172,30.136891495601173,20.406891495601172,69.41,20.66,9.61,19.6,4.46,0.99,43.9177,1.0561565144982565
2015-01-15,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.84689149560117,29.18689149560117,20.566891495601173,77.23,25.49,11.68,20.37,1.75,1.91,53.3776,0.842998602573727
2015-01-16,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.18689149560117,30.86689149560117,19.94689149560117,74.59,26.22,12.07,19.8,0.14,1.83,55.15990000000001,1.0851439243703296
2015-01-17,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.73689149560117,33.996891495601176,18.46689149560117,62.18,28.67,13.06,17.48,0.01,1.44,59.684200000000004,1.7243888532702532
2015-01-18,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.85689149560117,33.886891495601176,20.03689149560117,59.6,26.08,11.96,17.09,0.37,1.35,54.65720000000001,1.8659305563639323
2015-01-19,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.476891495601173,33.98689149560117,18.516891495601172,59.09,29.37,13.4,16.04,0.45,2.06,61.23800000000001,1.900767807746831
2015-01-20,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.69689149560117,32.84689149560117,19.046891495601173,64.31,25.83,11.86,17.13,1.28,1.61,54.2002,1.641718671575353
2015-01-21,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.18689149560117,30.43689149560117,19.75689149560117,77.23,16.37,7.73,19.42,5.94,1.97,35.326100000000004,1.0713057659625873
2015-01-22,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.71689149560117,23.35689149560117,19.16689149560117,90.36,16.16,7.71,20.23,13.17,3.34,35.234700000000004,0.17373616784888402
2015-01-23,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,20.676891495601172,24.41689149560117,18.586891495601172,86.26,18.97,8.91,19.3,3.08,2.37,40.718700000000005,0.3615411897287295
