data,cidade,polo,latitude,longitude,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2MDEW,PRECTOTCORR,WS2M
2015-01-01,Piedade,Sudoeste,-23.717,-47.4142,24.28,28.68,19.57,81.29,26.6,12.44,20.64,2.26,1.77
2015-01-02,Piedade,Sudoeste,-23.717,-47.4142,23.66,27.36,21.23,87.12,23.75,11.12,21.25,2.82,1.68
2015-01-03,Piedade,Sudoeste,-23.717,-47.4142,23.95,28.82,20.82,84.44,22.65,10.54,20.92,2.37,1.36
2015-01-04,Piedade,Sudoeste,-23.717,-47.4142,23.76,28.25,20.12,81.11,13.11,6.39,20.04,1.13,1.12
2015-01-05,Piedade,Sudoeste,-23.717,-47.4142,23.01,26.79,20.25,83.43,21.6,10.12,19.88,16.0,1.52
2015-01-06,Piedade,Sudoeste,-23.717,-47.4142,23.86,28.97,18.87,80.13,23.37,10.95,19.88,4.16,1.23
2015-01-07,Piedade,Sudoeste,-23.717,-47.4142,24.91,30.5,19.92,77.88,28.23,13.13,20.35,11.38,1.25
2015-01-08,Piedade,Sudoeste,-23.717,-47.4142,25.17,30.09,20.42,77.5,29.75,13.81,20.62,11.08,0.86
2015-01-09,Piedade,Sudoeste,-23.717,-47.4142,26.26,31.54,20.65,74.07,29.46,13.58,20.81,0.58,1.45
2015-01-10,Piedade,Sudoeste,-23.717,-47.4142,26.75,32.38,21.51,72.92,28.83,13.3,20.94,4.48,1.17
2015-01-11,Piedade,Sudoeste,-23.717,-47.4142,26.98,32.41,20.48,68.51,28.59,13.15,20.3,0.68,1.38
2015-01-12,Piedade,Sudoeste,-23.717,-47.4142,26.78,31.72,21.71,70.7,25.11,11.66,20.64,1.29,1.03
2015-01-13,Piedade,Sudoeste,-23.717,-47.4142,26.86,32.75,20.88,67.89,28.69,13.14,19.86,2.9,1.17
2015-01-14,Piedade,Sudoeste,-23.717,-47.4142,25.41,29.5,21.0,73.32,20.67,9.68,19.98,2.75,1.1
2015-01-15,Piedade,Sudoeste,-23.717,-47.4142,24.75,29.49,20.61,76.08,25.98,11.9,19.96,0.93,1.8
2015-01-16,Piedade,Sudoeste,-23.717,-47.4142,25.93,32.2,20.42,72.02,29.06,13.38,19.74,0.21,1.47
2015-01-17,Piedade,Sudoeste,-23.717,-47.4142,27.62,34.96,19.84,63.37,28.62,13.1,18.8,0.0,1.22
2015-01-18,Piedade,Sudoeste,-23.717,-47.4142,27.94,35.29,21.04,58.86,27.06,12.44,18.05,0.31,1.66
2015-01-19,Piedade,Sudoeste,-23.717,-47.4142,27.69,36.69,20.34,57.24,29.4,13.53,16.65,2.74,1.64
2015-01-20,Piedade,Sudoeste,-23.717,-47.4142,26.59,35.27,19.41,59.12,28.59,13.06,16.11,3.8,1.71
2015-01-21,Piedade,Sudoeste,-23.717,-47.4142,24.84,31.56,20.79,75.23,21.78,10.03,19.47,9.34,1.88
2015-01-22,Piedade,Sudoeste,-23.717,-47.4142,22.66,27.53,19.16,83.42,20.23,9.38,19.48,9.19,3.4
2015-01-23,Piedade,Sudoeste,-23.717,-47.4142,22.52,27.77,18.72,78.72,20.84,9.68,18.27,1.07,2.32
2015-01-24,Piedade,Sudoeste,-23.717,-47.4142,23.62,29.39,18.35,75.65,25.91,11.9,18.51,2.59,1.37
2015-01-25,Piedade,Sudoeste,-23.717,-47.4142,22.9,26.26,18.98,81.74,28.04,12.95,19.44,14.34,1.72
2015-01-26,Piedade,Sudoeste,-23.717,-47.4142,22.38,25.79,19.71,85.91,23.09,10.73,19.79,6.46,1.41
2015-01-27,Piedade,Sudoeste,-23.717,-47.4142,23.6,27.54,18.99,77.81,22.32,10.33,19.24,2.17,1.18
2015-01-28,Piedade,Sudoeste,-23.717,-47.4142,23.58,27.89,19.58,80.86,18.35,8.65,19.88,2.18,1.77
2015-01-29,Piedade,Sudoeste,-23.717,-47.4142,23.76,28.4,20.45,81.21,16.59,7.95,20.01,0.5,2.3
2015-01-30,Piedade,Sudoeste,-23.717,-47.4142,22.54,26.4,19.73,84.6,17.2,8.16,19.65,1.48,1.74
2015-01-31,Piedade,Sudoeste,-23.717,-47.4142,22.94,29.37,19.12,80.44,19.64,9.12,19.07,2.24,2.56
2015-02-01,Piedade,Sudoeste,-23.717,-47.4142,23.76,30.72,18.98,79.37,20.7,9.67,19.57,3.82,1.93
2015-02-02,Piedade,Sudoeste,-23.717,-47.4142,22.09,26.83,17.76,84.06,20.17,9.38,19.09,3.5,1.82
2015-02-03,Piedade,Sudoeste,-23.717,-47.4142,23.31,30.84,16.16,73.04,28.16,12.96,17.27,3.22,0.92
2015-02-04,Piedade,Sudoeste,-23.717,-47.4142,21.35,25.02,19.15,86.04,12.46,6.08,18.78,6.33,1.5
