data,cidade,polo,latitude,longitude,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2MDEW,PRECTOTCORR,WS2M,DLI,VPD
2015-01-01,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.3,30.05,21.42,74.12,26.83,12.54,20.02,1.87,2.73,57.3078,1.0623935407139848
2015-01-01,Ibiuna,Sudoeste,-23.6583,-47.2113,24.28,28.68,19.57,81.29,26.6,12.44,20.64,2.26,1.77,56.8508,0.671938495064226
2015-01-02,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.1,29.42,21.64,78.51,23.01,10.81,20.77,2.82,3.01,49.401700000000005,0.8931157424018514
2015-01-02,Ibiuna,Sudoeste,-23.6583,-47.2113,23.66,27.36,21.23,87.12,23.75,11.12,21.25,2.82,1.68,50.8184,0.5563944533260461
2015-01-03,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.05,26.36,21.11,89.97,15.57,7.45,21.24,5.97,2.04,34.0465,0.44484459860322323
2015-01-03,Ibiuna,Sudoeste,-23.6583,-47.2113,23.95,28.82,20.82,84.44,22.65,10.54,20.92,2.37,1.36,48.1678,0.7371088500595051
2015-01-04,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.22,27.26,20.52,85.44,12.64,6.19,20.41,2.0,1.55,28.288300000000003,0.619061961561139
2015-01-04,Ibiuna,Sudoeste,-23.6583,-47.2113,23.76,28.25,20.12,81.11,13.11,6.39,20.04,1.13,1.12,29.2023,0.7514275759679081
2015-01-05,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.41,25.44,20.22,88.11,17.36,8.32,20.23,11.8,1.92,38.022400000000005,0.4392549727025976
2015-01-05,Ibiuna,Sudoeste,-23.6583,-47.2113,23.01,26.79,20.25,83.43,21.6,10.12,19.88,16.0,1.52,46.2484,0.6272136329126026
2015-01-06,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.33,28.97,19.09,82.39,22.43,10.52,19.82,9.24,1.62,48.0764,0.7918964185006652
2015-01-06,Ibiuna,Sudoeste,-23.6583,-47.2113,23.86,28.97,18.87,80.13,23.37,10.95,19.88,4.16,1.23,50.0415,0.7682185709189557
2015-01-07,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.18,31.44,20.25,76.41,27.63,12.83,20.15,12.72,1.12,58.633100000000006,1.1304564947630178
2015-01-07,Ibiuna,Sudoeste,-23.6583,-47.2113,24.91,30.5,19.92,77.88,28.23,13.13,20.35,11.38,1.25,60.00410000000001,0.9570780454368046
2015-01-08,Ibiuna,Sudoeste,-23.6583,-47.2113,25.17,30.09,20.42,77.5,29.75,13.81,20.62,11.08,0.86,63.111700000000006,0.90284983610844
2015-01-08,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.32,31.46,20.01,75.49,28.52,13.18,20.13,4.53,1.15,60.232600000000005,1.1184963417058151
2015-01-09,Ibiuna,Sudoeste,-23.6583,-47.2113,26.26,31.54,20.65,74.07,29.46,13.58,20.81,0.58,1.45,62.0606,1.0751738069779466
2015-01-09,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.77,33.07,21.36,69.02,29.45,13.56,19.99,0.34,1.16,61.96920000000001,1.4593989391029045
2015-01-10,Ibiuna,Sudoeste,-23.6583,-47.2113,26.75,32.38,21.51,72.92,28.83,13.3,20.94,4.48,1.17,60.781000000000006,1.2340571294618385
2015-01-10,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.69,33.05,21.55,68.7,27.91,12.85,19.93,1.48,1.7,58.7245,1.480105865388421
2015-01-11,Ibiuna,Sudoeste,-23.6583,-47.2113,26.98,32.41,20.48,68.51,28.59,13.15,20.3,0.68,1.38,60.09550000000001,1.2553009800913726
2015-01-11,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,27.29,34.42,21.45,64.86,26.5,12.18,19.42,3.13,1.1,55.662600000000005,1.745118056221536
2015-01-12,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,27.46,33.57,21.68,69.57,27.09,12.54,20.63,2.92,1.55,57.3078,1.4619695726091093
2015-01-12,Ibiuna,Sudoeste,-23.6583,-47.2113,26.78,31.72,21.71,70.7,25.11,11.66,20.64,1.29,1.03,53.2862,1.2062678804488072
2015-01-13,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.98,33.25,22.24,68.12,28.1,12.87,19.91,2.19,1.44,58.8159,1.5666999392562055
2015-01-13,Ibiuna,Sudoeste,-23.6583,-47.2113,26.86,32.75,20.88,67.89,28.69,13.14,19.86,2.9,1.17,60.049800000000005,1.3962921647528845
2015-01-14,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.21,31.35,21.62,69.41,20.66,9.61,19.6,4.46,0.99,43.9177,1.302093841927797
2015-01-14,Ibiuna,Sudoeste,-23.6583,-47.2113,25.41,29.5,21.0,73.32,20.67,9.68,19.98,2.75,1.1,44.2376,0.9695575204162701
2015-01-15,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.06,30.4,21.78,77.23,25.49,11.68,20.37,1.75,1.91,53.3776,1.0826609594200698
2015-01-15,Ibiuna,Sudoeste,-23.6583,-47.2113,24.75,29.49,20.61,76.08,25.98,11.9,19.96,0.93,1.8,54.383,0.9417824316394414
2015-01-16,Ibiuna,Sudoeste,-23.6583,-47.2113,25.93,32.2,20.42,72.02,29.06,13.38,19.74,0.21,1.47,61.14660000000001,1.3033627482423977
2015-01-16,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.4,32.08,21.16,74.59,26.22,12.07,19.8,0.14,1.83,55.15990000000001,1.3344444141738108
2015-01-17,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.95,35.21,19.68,62.18,28.67,13.06,17.48,0.01,1.44,59.684200000000004,1.9928534671433689
2015-01-17,Ibiuna,Sudoeste,-23.6583,-47.2113,27.62,34.96,19.84,63.37,28.62,13.1,18.8,0.0,1.22,59.867000000000004,1.7926173034901862
2015-01-18,Ibiuna,Sudoeste,-23.6583,-47.2113,27.94,35.29,21.04,58.86,27.06,12.44,18.05,0.31,1.66,56.8508,2.0327908197171225
2015-01-18,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,27.07,35.1,21.25,59.6,26.08,11.96,17.09,0.37,1.35,54.65720000000001,2.140834262989978
2015-01-19,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,26.69,35.2,19.73,59.09,29.37,13.4,16.04,0.45,2.06,61.23800000000001,2.169371511306178
2015-01-19,Ibiuna,Sudoeste,-23.6583,-47.2113,27.69,36.69,20.34,57.24,29.4,13.53,16.65,2.74,1.64,61.832100000000004,2.38362806755393
2015-01-20,Ibiuna,Sudoeste,-23.6583,-47.2113,26.59,35.27,19.41,59.12,28.59,13.06,16.11,3.8,1.71,59.684200000000004,2.1495816593514263
2015-01-20,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,25.91,34.06,20.26,64.31,25.83,11.86,17.13,1.28,1.61,54.2002,1.9028679140284435
2015-01-21,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,24.4,31.65,20.97,77.23,16.37,7.73,19.42,5.94,1.97,35.326100000000004,1.316347726516054
2015-01-21,Ibiuna,Sudoeste,-23.6583,-47.2113,24.84,31.56,20.79,75.23,21.78,10.03,19.47,9.34,1.88,45.8371,1.2838062837525723
2015-01-22,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.93,24.57,20.38,90.36,16.16,7.71,20.23,13.17,3.34,35.234700000000004,0.3689168180339206
2015-01-22,Ibiuna,Sudoeste,-23.6583,-47.2113,22.66,27.53,19.16,83.42,20.23,9.38,19.48,9.19,3.4,42.866600000000005,0.684503697684876
2015-01-23,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,21.89,25.63,19.8,86.26,18.97,8.91,19.3,3.08,2.37,40.718700000000005,0.5601935666833802
2015-01-23,Ibiuna,Sudoeste,-23.6583,-47.2113,22.52,27.77,18.72,78.72,20.84,9.68,18.27,1.07,2.32,44.2376,0.8451619498917662
2015-01-24,Ibiuna,Sudoeste,-23.6583,-47.2113,23.62,29.39,18.35,75.65,25.91,11.9,18.51,2.59,1.37,54.383,0.9722373367546759
2015-01-24,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.03,29.08,19.03,79.74,20.99,9.83,18.85,3.45,1.56,44.923100000000005,0.9359574813923772
2015-01-25,Ibiuna,Sudoeste,-23.6583,-47.2113,22.9,26.26,18.98,81.74,28.04,12.95,19.44,14.34,1.72,59.1815,0.5456105630299048
2015-01-25,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,22.62,27.36,18.12,79.12,28.42,13.12,18.55,10.47,1.79,59.9584,0.7240195593415013
2015-01-26,Ibiuna,Sudoeste,-23.6583,-47.2113,22.38,25.79,19.71,85.91,23.09,10.73,19.79,6.46,1.41,49.036100000000005,0.50022783811816
2015-01-26,Mogi das Cruzes,Alto Tiete,-23.5217,-46.186,23.26,26.95,19.77,78.66,19.93,9.31,19.1,5.36,1.55,42.54670000000001,0.7189059868486307
