data;temp_ar_media;temp_ar_max;temp_ar_min;umidade_ar_media;umidade_ar_min;radiacao_KJm2;radiacao_PAR;chuva_mm;h_umid_alta;h_calor_extremo;pH;N_mgL;P_mgL;K_mgL;temp_substrato;umidade_solo;luminosidade_lux
2025-12-21;23,8;31,7;17,5;71,1;33,0;25980,0;2748,3;0,0;11;1;5,89;144,7;47,6;287,4;21,2;67,2;1947,5
2025-12-22;25,1;32,0;20,1;55,8;36,0;25332,5;2679,9;0,0;0;3;5,86;141,1;47,2;267,5;22,4;67,0;1847,2
2025-12-23;26,0;32,1;20,6;54,2;34,0;24217,2;2561,9;0,0;0;1;5,61;141,0;40,9;278,8;23,1;60,9;1815,3
2025-12-24;26,8;33,5;19,3;52,9;31,0;28175,8;2980,6;0,0;0;9;5,69;136,3;39,3;265,6;24,3;60,8;2000,0
2025-12-25;27,6;34,8;21,4;54,6;32,0;26025,2;2753,1;0,0;0;9;5,62;136,5;42,6;296,5;25,1;60,1;1939,5
2025-12-26;25,4;34,9;20,4;72,8;35,0;22355,5;2364,9;20,8;9;5;5,68;152,2;32,2;239,8;23,0;80,4;1658,0
2025-12-27;26,2;34,2;21,2;71,0;35,0;26651,3;2819,4;0,0;10;6;5,73;137,6;39,1;246,6;23,5;68,2;1978,7
2025-12-28;26,4;34,5;20,7;68,5;34,0;25917,3;2741,7;0,2;7;7;5,59;143,8;43,4;246,7;24,2;68,0;1933,2
2025-12-29;24,7;32,4;21,2;77,9;45,0;22028,3;2330,3;13,8;11;5;5,77;150,1;41,3;276,5;22,0;78,0;1614,6
2025-12-30;26,0;32,7;20,2;73,5;41,0;28881,9;3055,3;16,2;9;7;5,65;142,2;45,4;256,9;24,0;78,6;2000,0
2025-12-31;25,6;31,0;21,4;72,0;45,0;20300,9;2147,6;0,0;5;1;5,8;166,9;44,9;282,7;21,8;68,4;1504,6
2026-01-01;25,1;30,7;20,9;74,9;47,0;23936,5;2532,2;0,2;8;1;5,77;148,5;36,9;257,5;22,8;71,4;1764,7
2026-01-02;22,2;27,8;19,7;90,2;63,0;15746,1;1665,7;29,0;16;0;5,91;166,4;43,7;274,4;19,4;85,4;1167,5
2026-01-03;23,6;28,7;20,2;81,3;55,0;22895,9;2422,1;0,0;11;0;5,98;147,0;43,7;259,2;20,4;70,1;1699,4
2026-01-04;22,1;27,8;17,8;76,3;52,0;27644,6;2924,4;0,0;6;0;5,86;143,5;39,3;263,5;19,4;68,1;2000,0
2026-01-05;19,6;24,6;17,1;83,1;58,0;24609,5;2603,4;0,0;11;0;5,95;167,0;45,7;273,9;17,1;65,6;1822,0
2026-01-06;21,1;28,7;15,8;71,6;43,0;26606,5;2814,6;0,0;5;0;5,85;167,4;44,2;274,5;18,6;66,7;1987,4
2026-01-07;22,8;29,1;18,4;73,1;45,0;22717,3;2403,2;12,8;6;0;5,91;160,9;36,4;288,7;19,6;81,4;1715,1
2026-01-08;23,4;30,8;19,5;71,7;40,0;26061,3;2756,9;1,0;10;0;5,77;141,9;44,9;258,3;20,1;69,5;1913,9
2026-01-09;25,1;32,6;20,0;69,6;34,0;23924,3;2530,9;1,0;7;4;5,83;140,5;50,7;249,0;22,4;69,5;1753,2
2026-01-10;25,5;33,2;19,5;67,5;36,0;26518,1;2805,3;0,0;9;6;5,79;152,1;38,6;262,3;23,1;68,2;1945,1
2026-01-11;26,2;33,2;19,2;59,4;32,0;28862,0;3053,2;0,0;5;7;5,63;139,5;46,2;269,5;23,9;62,9;2000,0
2026-01-12;26,0;32,4;18,7;52,2;32,0;23551,8;2491,5;0,0;0;6;5,77;141,2;52,5;284,1;22,9;67,1;1729,4
2026-01-13;22,7;30,6;18,2;80,9;41,0;19731,3;2087,3;23,8;12;0;5,96;170,2;36,7;282,3;20,4;84,7;1489,6
2026-01-14;21,8;28,9;18,6;82,3;49,0;16862,4;1783,8;1,2;14;0;5,89;162,3;40,8;257,8;19,2;73,2;1252,8
2026-01-15;21,6;28,8;19,0;83,4;49,0;15062,5;1593,4;30,8;12;0;5,98;172,2;45,8;266,0;20,4;85,2;1102,5
2026-01-16;22,2;29,6;18,5;81,7;43,0;19371,3;2049,2;4,6;12;0;5,82;166,6;41,8;280,2;19,9;74,4;1421,8
2026-01-17;21,9;28,0;19,0;86,4;53,0;14130,4;1494,8;3,0;16;0;5,82;170,5;46,9;273,2;18,7;74,6;1052,1
2026-01-18;21,5;26,9;18,3;90,7;61,0;14574,3;1541,8;15,8;18;0;5,9;174,4;40,2;252,9;19,2;85,8;1095,5
2026-01-19;21,4;26,6;19,2;90,6;61,0;13868,9;1467,1;2,8;18;0;6,06;163,6;39,8;277,7;19,2;75,8;1084,8
2026-01-20;17,9;21,0;15,9;87,5;69,0;12122,1;1282,4;1,0;12;0;6,0;187,4;48,3;279,8;15,3;74,8;886,1
2026-01-21;17,2;21,9;14,7;85,5;66,0;17540,4;1855,5;0,0;11;0;5,92;163,0;45,3;304,7;13,8;73,6;1274,7
