data;temp_ar_media;temp_ar_max;temp_ar_min;umidade_ar_media;radiacao_PAR;chuva_mm;h_calor_extremo;h_umid_alta;pH;N_mgL;P_mgL;K_mgL;temp_substrato;umidade_solo;luminosidade_lux;acao_label;acao_nome
2025-01-01;17,7;22,5;13,9;86,2;685,5;2,7;0;6;5,86;187,8;39,6;297,5;15,8;76,8;485,3;0;Ideal
2025-01-02;18,3;23,6;13,1;90,1;560,7;4,4;0;8;6,11;187,7;38,1;281,2;16,9;70,2;387,1;0;Ideal
2025-01-03;16,6;23,3;12,0;85,2;748,6;0,3;0;4;5,96;181,1;40,9;298,0;15,3;71,8;510,4;0;Ideal
2025-01-04;20,1;27,2;16,1;80,7;620,8;1,1;0;4;5,77;190,3;48,9;281,5;17,6;67,2;418,2;0;Ideal
2025-01-05;16,4;23,3;11,6;83,4;823,2;11,6;0;6;5,98;196,3;33,8;309,7;14,1;92,3;556,1;1;Travar Irrigação
2025-01-06;16,1;21,8;12,4;85,9;758,9;0,0;0;6;5,83;179,1;47,0;314,9;13,9;68,9;515,8;0;Ideal
2025-01-07;18,9;25,4;14,0;84,0;635,7;4,3;0;6;6,02;168,1;49,4;262,9;17,2;79,3;442,9;0;Ideal
2025-01-08;18,5;23,6;14,3;85,9;773,0;5,9;0;6;5,9;175,2;43,8;271,9;15,7;76,5;542,2;0;Ideal
2025-01-09;18,3;23,7;12,8;80,1;674,8;0,4;0;4;5,72;192,5;40,9;241,2;14,9;59,3;452,0;2;Irrigar
2025-01-10;18,3;25,5;14,0;84,5;736,5;28,9;0;5;5,87;217,6;37,9;274,4;16,0;89,0;514,4;1;Travar Irrigação
2025-01-11;17,5;22,0;12,9;78,2;705,9;2,1;0;3;5,78;209,4;51,2;227,9;14,5;70,0;479,6;0;Ideal
2025-01-12;16,4;21,2;12,9;83,4;598,1;2,9;0;2;5,96;173,4;52,2;299,8;14,0;79,7;435,3;0;Ideal
2025-01-13;17,6;22,7;13,9;80,3;613,0;2,9;0;4;5,85;171,4;43,9;291,5;15,2;63,6;417,1;0;Ideal
2025-01-14;16,7;21,3;12,2;81,0;745,6;2,1;0;3;5,89;180,8;51,8;235,4;14,4;81,1;556,0;0;Ideal
2025-01-15;18,7;23,7;14,0;88,9;635,0;0,0;0;9;5,93;194,3;47,3;274,9;16,1;73,5;406,5;0;Ideal
2025-01-16;17,3;23,6;12,3;88,3;628,0;10,5;0;8;6,01;187,9;39,1;321,2;14,5;80,9;469,5;0;Ideal
2025-01-17;16,5;22,3;12,3;86,4;582,4;27,3;0;7;5,87;177,1;39,4;291,0;14,1;80,7;399,7;0;Ideal
2025-01-18;17,1;24,3;11,9;79,6;691,1;2,0;0;5;5,84;182,4;45,7;280,5;13,7;78,3;487,6;0;Ideal
2025-01-19;18,0;25,0;12,4;82,7;820,6;8,7;0;4;6,02;187,9;45,1;281,7;16,2;83,5;572,9;0;Ideal
