data,cidade,polo,temp_ar_c,temp_max_c,temp_min_c,umidade_relativa_pct,ponto_orvalho_c,chuva_mm,radiacao_kj_m2,vento_ms,rajada_ms,origem_clima,vpd_kpa,dli_mol_m2_d
2026-01-01,Bragança Paulista/Atibaia,Circuito das Frutas-SP,25.08,30.7,20.9,74.86,19.69,0.2,23936.5,1.94,10.3,observado_horario_agregado,0.889,49.23
2026-01-02,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.17,27.8,19.7,90.25,20.28,29.0,15746.1,2.1,13.6,observado_horario_agregado,0.291,32.38
2026-01-03,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.63,28.7,20.2,81.3,19.77,0.0,22895.9,1.65,10.2,observado_horario_agregado,0.613,47.09
2026-01-04,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.06,27.8,17.8,76.3,17.45,0.0,27644.6,2.76,11.7,observado_horario_agregado,0.66,56.85
2026-01-05,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.62,24.6,17.1,83.09,16.46,0.0,24609.5,5.04,12.4,observado_horario_agregado,0.412,50.61
2026-01-06,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.1,28.7,15.8,71.58,15.18,0.0,26606.5,2.79,10.3,observado_horario_agregado,0.776,54.72
2026-01-07,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.78,29.1,18.4,73.08,17.19,12.8,22717.3,1.72,8.3,observado_horario_agregado,0.811,46.72
2026-01-08,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.37,30.8,19.5,71.71,17.48,1.0,26061.3,1.83,9.9,observado_horario_agregado,0.875,53.6
2026-01-09,Bragança Paulista/Atibaia,Circuito das Frutas-SP,25.1,32.6,20.0,69.64,18.17,1.0,23924.3,1.44,7.2,observado_horario_agregado,1.099,49.2
2026-01-10,Bragança Paulista/Atibaia,Circuito das Frutas-SP,25.5,33.2,19.5,67.46,18.08,0.0,26518.1,1.64,7.3,observado_horario_agregado,1.189,54.53
2026-01-11,Bragança Paulista/Atibaia,Circuito das Frutas-SP,26.22,33.2,19.2,59.38,16.53,0.0,28862.0,1.29,8.4,observado_horario_agregado,1.524,59.35
2026-01-12,Bragança Paulista/Atibaia,Circuito das Frutas-SP,26.04,32.4,18.7,52.25,15.08,0.0,23551.8,1.28,8.6,observado_horario_agregado,1.654,48.43
2026-01-13,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.71,30.6,18.2,80.91,18.5,23.8,19731.3,1.8,9.1,observado_horario_agregado,0.63,40.58
2026-01-14,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.76,28.9,18.6,82.29,18.24,1.2,16862.4,1.34,10.9,observado_horario_agregado,0.511,34.68
2026-01-15,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.55,28.8,19.0,83.43,18.42,30.8,15062.5,1.48,10.6,observado_horario_agregado,0.453,30.98
2026-01-16,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.17,29.6,18.5,81.73,18.35,4.6,19371.3,0.96,12.7,observado_horario_agregado,0.562,39.84
2026-01-17,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.85,28.0,19.0,86.42,19.12,3.0,14130.4,0.79,7.1,observado_horario_agregado,0.407,29.06
2026-01-18,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.48,26.9,18.3,90.71,19.65,15.8,14574.3,1.3,6.9,observado_horario_agregado,0.273,29.97
