"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"21/12/2025";"0000";"20,5";"21,6";"20,5";"87,0";"88,0";"81,0";"18,3";"18,4";"18,1";"916,2";"916,2";"915,5";"4,6";"145,0";"10,4";"";"0,0"
"21/12/2025";"0100";"19,9";"20,5";"19,9";"90,0";"90,0";"86,0";"18,2";"18,3";"17,8";"916,6";"916,6";"916,2";"4,6";"147,0";"9,5";"";"0,0"
"21/12/2025";"0200";"19,2";"19,9";"19,2";"98,0";"98,0";"90,0";"19,0";"19,0";"18,2";"917,1";"917,1";"916,6";"3,6";"150,0";"8,7";"";"0,0"
"21/12/2025";"0300";"19,0";"19,2";"19,0";"100,0";"100,0";"98,0";"19,0";"19,1";"19,0";"916,8";"917,1";"916,8";"2,8";"152,0";"6,3";"";"0,0"
"21/12/2025";"0400";"18,9";"19,0";"18,5";"100,0";"100,0";"100,0";"18,9";"18,9";"18,5";"916,4";"916,8";"916,4";"3,1";"163,0";"5,8";"";"0,0"
"21/12/2025";"0500";"18,3";"18,9";"18,2";"100,0";"100,0";"100,0";"18,2";"18,8";"18,2";"916,0";"916,4";"916,0";"3,1";"157,0";"5,1";"";"0,0"
"21/12/2025";"0600";"17,9";"18,3";"17,9";"100,0";"100,0";"100,0";"17,9";"18,2";"17,9";"916,1";"916,2";"916,0";"1,4";"147,0";"4,8";"";"0,0"
"21/12/2025";"0700";"18,0";"18,0";"17,7";"100,0";"100,0";"100,0";"18,0";"18,0";"17,7";"916,2";"916,3";"916,0";"2,1";"171,0";"3,4";"";"0,0"
"21/12/2025";"0800";"17,6";"18,0";"17,5";"100,0";"100,0";"100,0";"17,6";"18,0";"17,5";"916,4";"916,4";"916,2";"2,0";"162,0";"3,1";"";"0,0"
"21/12/2025";"0900";"18,4";"18,4";"17,6";"100,0";"100,0";"100,0";"18,4";"18,4";"17,6";"916,8";"916,8";"916,4";"2,0";"165,0";"2,9";"78,40";"0,0"
"21/12/2025";"1000";"21,5";"21,5";"18,4";"85,0";"100,0";"85,0";"19,0";"19,1";"18,3";"917,1";"917,2";"916,8";"1,5";"149,0";"3,4";"690,90";"0,0"
"21/12/2025";"1100";"23,8";"24,4";"21,4";"65,0";"85,0";"64,0";"16,8";"19,1";"16,6";"917,2";"917,3";"917,1";"2,1";"69,0";"4,6";"1560,50";"0,0"
"21/12/2025";"1200";"25,7";"25,7";"23,8";"61,0";"69,0";"60,0";"17,6";"18,4";"16,6";"917,4";"917,4";"917,2";"2,5";"81,0";"5,4";"2292,10";"0,0"
"21/12/2025";"1300";"26,7";"27,0";"24,7";"56,0";"65,0";"55,0";"17,3";"18,5";"16,6";"917,5";"917,5";"917,3";"1,7";"82,0";"5,3";"2895,90";"0,0"
"21/12/2025";"1400";"28,8";"29,0";"26,6";"49,0";"57,0";"48,0";"17,0";"17,9";"16,3";"917,1";"917,6";"917,1";"2,4";"85,0";"5,9";"3938,70";"0,0"
