timestamp,polo,sistema,cultivar,dias_apos_transplante,fase,ce_ms_cm,ph,N,P,K,Ca,Mg,temp_solucao_c,od_mg_l,vazao_l_min,nivel_reservatorio_pct,temp_ar_c,temp_max_c,temp_min_c,umidade_relativa_pct,vpd_kpa,dli_mol_m2_d,origem_clima,ce_alvo_min,ce_alvo_max,classe_acao,motivo,saude_pct
2026-12-29,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,114,producao,1.68,5.76,163.4,44.6,310.0,125.1,44.7,25.4,8.1,1.36,98.3,25.8,31.3,20.4,86.7,0.54,28.6,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-10-18,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,6,vegetativo,1.05,5.78,113.5,27.5,157.1,92.3,28.1,20.0,8.27,1.94,74.0,20.1,25.7,14.5,70.9,0.72,23.2,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-03-14,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,28,vegetativo,0.97,6.03,94.7,24.4,148.6,77.3,22.1,20.3,7.95,0.85,81.2,21.7,28.7,14.7,75.5,0.69,39.0,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-03-01,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,76,frutificacao,1.3,5.74,106.3,33.8,226.2,107.5,42.9,25.2,7.23,0.77,45.5,25.0,32.6,17.5,84.3,0.59,36.6,sazonal_sintetico,1.3,1.6,3,proteger: calor do ar,82
2026-08-04,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,12,vegetativo,0.99,7.23,101.3,25.8,185.0,76.4,24.0,16.3,8.35,1.11,60.5,18.1,22.8,13.4,67.1,0.71,19.4,sazonal_sintetico,0.9,1.2,1,travar/corrigir: CE ou pH alto,88
2026-06-24,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,57,floracao,1.91,5.87,195.6,51.7,283.5,154.1,47.7,13.1,7.82,1.32,62.3,14.2,20.6,7.8,69.3,0.57,12.6,sazonal_sintetico,1.1,1.4,1,travar/corrigir: CE ou pH alto,88
2026-10-25,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,159,producao,1.67,5.8,163.4,47.7,283.1,145.8,45.5,20.4,8.87,1.39,98.2,20.8,28.6,12.9,86.0,0.42,26.8,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-01-12,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,180,producao,1.46,4.77,155.4,39.3,244.1,126.9,42.8,26.0,8.07,1.0,48.3,26.8,33.9,19.7,55.2,1.65,34.9,observado_horario_agregado,1.4,1.7,3,proteger: calor do ar,82
2026-01-03,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,18,vegetativo,1.05,6.08,109.7,28.1,158.6,84.4,27.1,26.8,6.09,1.35,57.2,25.7,30.2,21.2,84.3,0.61,33.9,observado_horario_agregado,0.9,1.2,3,proteger: solução quente,82
2026-09-29,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,45,floracao,1.19,5.94,127.1,30.1,220.6,90.1,33.8,19.6,7.15,1.25,84.9,19.4,25.8,13.1,72.6,0.67,24.0,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-01-20,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,128,producao,2.26,5.82,221.6,56.0,347.8,182.4,55.2,17.6,7.49,1.39,88.3,19.7,22.5,16.9,90.5,0.27,17.9,observado_horario_agregado,1.4,1.7,1,travar/corrigir: CE ou pH alto,88
2026-10-30,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,50,floracao,1.35,6.15,132.6,34.2,249.6,110.3,36.8,21.6,8.83,1.21,98.1,20.9,27.4,14.4,72.4,0.79,23.4,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-12-11,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,58,floracao,1.21,6.83,110.1,32.6,198.2,91.6,33.5,26.2,7.41,1.56,46.1,26.0,33.2,18.9,84.0,0.62,30.5,sazonal_sintetico,1.1,1.4,3,proteger: calor do ar,82
2026-07-16,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,47,floracao,1.37,5.66,139.2,34.4,231.2,119.0,36.9,17.2,7.47,0.99,73.4,17.1,23.0,11.1,55.7,0.85,20.7,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-04-17,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,71,frutificacao,1.51,4.56,144.7,39.9,254.1,128.9,39.3,20.2,7.23,0.98,59.4,18.5,24.8,12.1,64.7,0.81,25.5,sazonal_sintetico,1.3,1.6,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
