timestamp,polo,sistema,cultivar,dias_apos_transplante,fase,N_mg_dm3,P_mg_dm3,K_mg_dm3,ph,umidade_solo_pct,temp_solo_c,temp_ar_c,temp_max_c,temp_min_c,umidade_relativa_pct,vpd_kpa,dli_mol_m2_d,chuva_mm,origem_clima,classe_acao,motivo,saude_pct
2026-12-29,Circuito das Frutas-SP,solo_convencional,San Andreas,31,vegetativo,23.6,73.1,106.5,6.41,74.0,23.4,23.9,29.8,19.4,83.7,0.54,39.7,1.3,sazonal_sintetico,0,condições dentro do ideal,100
2026-10-18,Circuito das Frutas-SP,solo_convencional,San Andreas,96,frutificacao,44.2,125.8,121.3,5.74,79.6,18.4,18.5,24.2,13.5,67.9,0.72,32.2,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-03-14,Circuito das Frutas-SP,solo_convencional,San Andreas,159,producao,20.6,57.9,128.0,5.84,62.4,20.8,20.0,27.2,13.7,72.5,0.69,54.1,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-03-01,Circuito das Frutas-SP,solo_convencional,San Andreas,74,frutificacao,31.7,34.8,365.9,6.28,58.3,24.7,23.3,31.1,16.5,81.3,0.59,50.8,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-08-04,Circuito das Frutas-SP,solo_convencional,San Andreas,38,floracao,28.5,49.9,133.7,4.7,74.5,15.3,16.7,21.3,12.4,64.1,0.71,26.9,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-06-24,Circuito das Frutas-SP,solo_convencional,San Andreas,152,producao,27.2,47.8,155.9,5.87,70.5,15.0,13.8,19.0,6.8,66.3,0.57,17.5,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-10-25,Circuito das Frutas-SP,solo_convencional,San Andreas,87,frutificacao,26.6,71.8,82.5,5.58,81.2,18.8,18.7,27.1,11.9,83.0,0.42,37.2,11.7,sazonal_sintetico,0,condições dentro do ideal,100
2026-01-12,Circuito das Frutas-SP,solo_convencional,San Andreas,112,producao,6.1,36.0,177.2,6.39,68.9,26.5,26.0,32.4,18.7,52.2,1.65,48.4,0.0,observado_horario_agregado,3,proteger: calor do ar,82
2026-01-03,Circuito das Frutas-SP,solo_convencional,San Andreas,10,vegetativo,33.2,68.6,135.8,6.26,105.2,21.6,23.6,28.7,20.2,81.3,0.61,47.1,0.0,observado_horario_agregado,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-09-29,Circuito das Frutas-SP,solo_convencional,San Andreas,114,producao,43.5,35.9,128.9,6.49,116.0,15.0,18.0,24.2,12.1,69.6,0.67,33.4,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-01-20,Circuito das Frutas-SP,solo_convencional,San Andreas,173,producao,36.4,13.8,113.1,6.21,84.0,19.0,17.9,21.0,15.9,87.5,0.27,24.9,1.0,observado_horario_agregado,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-10-30,Circuito das Frutas-SP,solo_convencional,San Andreas,20,vegetativo,23.0,46.8,157.1,5.51,80.4,20.0,20.8,26.0,13.4,69.4,0.79,32.5,2.2,sazonal_sintetico,0,condições dentro do ideal,100
2026-12-11,Circuito das Frutas-SP,solo_convencional,San Andreas,46,floracao,41.6,40.3,108.2,5.87,67.4,23.2,24.2,31.7,17.9,81.0,0.62,42.4,1.6,sazonal_sintetico,0,condições dentro do ideal,100
2026-07-16,Circuito das Frutas-SP,solo_convencional,San Andreas,18,vegetativo,27.5,50.6,171.1,6.41,122.5,17.0,16.1,21.5,10.1,52.7,0.85,28.7,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-04-17,Circuito das Frutas-SP,solo_convencional,San Andreas,40,floracao,34.8,53.2,112.9,4.45,84.3,18.5,18.0,23.3,11.1,61.7,0.81,35.4,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-11-05,Circuito das Frutas-SP,solo_convencional,San Andreas,137,producao,27.5,79.6,95.6,4.58,78.1,21.0,20.8,28.5,12.5,69.7,0.78,39.5,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-01-28,Circuito das Frutas-SP,solo_convencional,San Andreas,149,producao,20.0,46.6,96.9,6.48,115.2,23.4,23.3,29.6,16.8,88.8,0.36,40.8,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-05-03,Circuito das Frutas-SP,solo_convencional,San Andreas,72,frutificacao,30.4,70.0,113.7,6.48,15.2,21.2,18.6,25.4,11.0,62.1,0.83,33.2,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-04-27,Circuito das Frutas-SP,solo_convencional,San Andreas,15,vegetativo,29.2,31.0,118.3,5.92,78.2,17.6,19.0,25.4,14.4,68.4,0.73,28.4,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-07-16,Circuito das Frutas-SP,solo_convencional,San Andreas,20,vegetativo,23.4,51.2,82.0,6.18,29.5,15.5,16.1,21.5,10.1,52.7,0.85,28.7,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-10-11,Circuito das Frutas-SP,solo_convencional,San Andreas,88,frutificacao,14.4,59.1,160.9,5.98,65.1,19.0,19.0,24.2,12.5,66.8,0.76,23.8,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-05-01,Circuito das Frutas-SP,solo_convencional,San Andreas,13,vegetativo,44.4,65.7,105.3,7.51,67.7,19.1,16.9,22.4,10.0,63.9,0.72,24.2,3.8,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-11-04,Circuito das Frutas-SP,solo_convencional,San Andreas,22,vegetativo,28.2,44.1,125.4,5.77,113.1,21.2,21.7,27.7,17.0,69.8,0.82,42.5,4.1,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-02-02,Circuito das Frutas-SP,solo_convencional,San Andreas,23,vegetativo,31.4,65.2,337.9,5.59,85.1,22.4,22.0,29.9,15.3,95.4,0.14,40.6,20.1,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-05-17,Circuito das Frutas-SP,solo_convencional,San Andreas,161,producao,24.0,59.8,95.7,5.63,70.7,17.6,17.8,22.5,11.7,76.5,0.53,26.3,11.5,sazonal_sintetico,0,condições dentro do ideal,100
