Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.4962888
Longitude: -46.6200666
Altitude: 785.64
Situacao: Operante
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);UMIDADE RELATIVA DO AR, HORARIA(%);
2025-01-01;0000;0;-3,5;21,2;76;
2025-01-01;0100;0;-3,1;21,1;79;
2025-01-01;0200;0;-3,5;20,5;82;
2025-01-01;0300;0;-1,7;20,7;81;
2025-01-01;0400;0;-3;20,2;83;
2025-01-01;0500;0;-2,1;19,7;85;
2025-01-01;0600;0;-3,5;19,6;85;
2025-01-01;0700;0;-3,5;19,3;86;
2025-01-01;0800;0;-3,5;19;87;
2025-01-01;0900;0;35,5;19,1;88;
2025-01-01;1000;0;599,4;21,8;76;
2025-01-01;1100;0;1484,7;23,2;67;
2025-01-01;1200;0;2324,6;25,8;57;
2025-01-01;1300;0;3042,7;26,7;49;
2025-01-01;1400;0;2946,9;27,9;46;
2025-01-01;1500;0;3500,1;28,6;43;
2025-01-01;1600;0;1446,3;27,8;43;
2025-01-01;1700;0;2998,7;29;40;
2025-01-01;1800;0;1073,1;25,2;65;
2025-01-01;1900;,4;216,4;22,4;77;
2025-01-01;2000;0;231,1;22,6;77;
2025-01-01;2100;0;314,2;23;74;
2025-01-01;2200;0;78,1;22,4;76;
2025-01-01;2300;0;-3,1;22;78;
2025-01-02;0000;0;-2,7;21,9;78;
2025-01-02;0100;0;-3,5;21,7;81;
2025-01-02;0200;0;-3,5;21,5;83;
2025-01-02;0300;0;-3,5;21,2;84;
2025-01-02;0400;0;-3,5;20,7;85;
2025-01-02;0500;0;-3,5;20,3;85;
2025-01-02;0600;0;-3,5;20,1;83;
2025-01-02;0700;0;-3,5;19,4;85;
2025-01-02;0800;0;-3,5;19,3;87;
2025-01-02;0900;0;32,1;20,8;74;
2025-01-02;1000;0;521,4;22,3;69;
2025-01-02;1100;0;1564,2;23,6;65;
2025-01-02;1200;0;2465,1;25,6;60;
2025-01-02;1300;0;2988,4;26,7;56;
2025-01-02;1400;0;3510,4;27,7;47;
2025-01-02;1500;0;3890,4;29,1;39;
2025-01-02;1600;0;3607,9;29,3;38;
2025-01-02;1700;0;3408,8;30,7;36;
2025-01-02;1800;0;2509,5;29,6;38;
2025-01-02;1900;0;1895,3;30,4;38;
2025-01-02;2000;0;1068,6;29,5;38;
2025-01-02;2100;0;551,5;29;40;
2025-01-02;2200;0;92,9;27,2;54;
2025-01-02;2300;,2;-2,9;21,9;77;
