timestamp,temp_ar,umidade_ar,light_hours_day,soil_moisture,fase,dias_ciclo,nitrogenio,fosforo,potassio,ph_solo,action_target,motivo
2025-07-25 18:00:00,17.0,84.0,8.0,81.0,colheita,107,115.0,63.5,332.5,6.41,1,corrigir nitrogenio fora da faixa
2026-07-09 08:00:00,11.2,85.48,0.0,79.56,muda,28,207.16,44.17,267.25,6.56,0,condicoes dentro do ideal
2027-08-29 11:00:00,16.67,75.97,0.96,74.01,muda,25,235.9,34.43,245.3,6.19,0,condicoes dentro do ideal
2045-09-15 16:00:00,31.13,30.89,7.0,50.08,florescimento,37,193.0,61.68,222.34,5.65,2,irrigar: solo seco
2038-02-07 18:00:00,28.5,51.87,9.1,54.97,colheita,90,107.68,49.68,326.67,5.51,2,irrigar: solo seco
2030-10-27 12:00:00,19.14,87.96,2.97,69.65,colheita,117,136.65,43.14,337.33,6.31,3,proteger: umidade alta (risco de fungos)
2044-12-20 14:00:00,33.92,31.4,4.92,49.33,frutificacao,77,165.31,56.84,414.52,6.29,2,irrigar: solo seco
2026-07-01 09:00:00,14.54,83.27,0.0,69.39,muda,11,228.77,45.87,197.72,6.48,0,condicoes dentro do ideal
2026-04-20 03:00:00,19.58,91.12,0.0,79.73,muda,18,206.67,38.61,263.24,5.4,3,proteger: umidade alta (risco de fungos)
2025-12-13 19:00:00,23.3,75.0,10.0,75.6,colheita,110,153.2,65.7,336.2,6.08,0,condicoes dentro do ideal
2027-02-04 22:00:00,20.74,91.16,11.92,81.81,florescimento,38,164.81,61.74,253.01,6.18,3,proteger: umidade alta (risco de fungos)
2047-03-27 16:00:00,27.33,47.72,7.09,53.05,colheita,106,140.95,43.5,417.72,6.19,2,irrigar: solo seco
2026-12-17 23:00:00,16.47,74.95,10.87,72.41,frutificacao,81,127.84,44.92,322.63,5.91,1,corrigir nitrogenio fora da faixa
2026-09-03 06:00:00,16.37,82.17,0.0,73.88,muda,6,218.97,27.87,232.76,6.06,1,corrigir fosforo fora da faixa
2026-10-07 04:00:00,21.74,62.67,0.0,74.76,muda,12,212.5,29.1,246.46,6.07,1,corrigir fosforo fora da faixa
2027-06-12 10:00:00,10.28,89.72,0.0,84.14,florescimento,39,200.42,54.37,315.13,5.44,3,proteger: umidade alta (risco de fungos)
2026-10-07 15:00:00,20.47,69.48,6.2,73.41,frutificacao,77,153.65,71.85,323.7,5.79,1,corrigir fosforo fora da faixa
2026-09-10 03:00:00,19.12,53.86,0.0,76.61,frutificacao,76,136.02,46.55,348.85,6.87,1,corrigir nitrogenio fora da faixa
2031-01-29 01:00:00,21.48,87.02,0.0,64.49,colheita,116,139.71,64.31,314.68,6.2,3,proteger: umidade alta (risco de fungos)
2051-10-15 02:00:00,12.86,68.11,0.0,86.72,frutificacao,84,156.16,75.39,325.17,6.39,2,reduzir irrigacao: solo encharcado
2025-09-01 08:00:00,16.5,84.0,0.0,76.0,colheita,112,182.9,39.5,438.9,6.13,1,corrigir potassio fora da faixa
2026-07-21 14:00:00,18.32,64.41,3.94,74.85,frutificacao,71,169.55,60.82,317.31,5.5,0,condicoes dentro do ideal
2026-04-24 17:00:00,26.18,54.09,7.05,62.94,florescimento,44,122.02,59.42,159.61,5.42,1,corrigir pH fora da faixa ideal
2032-08-20 23:00:00,26.96,40.57,11.07,52.59,frutificacao,85,143.26,76.24,285.89,7.05,2,irrigar: solo seco
2026-08-26 23:00:00,14.88,92.96,9.88,73.39,frutificacao,82,187.42,69.49,327.75,6.55,3,proteger: umidade alta (risco de fungos)
2047-02-13 11:00:00,27.18,62.06,2.01,53.25,colheita,117,158.67,72.34,371.86,6.35,2,irrigar: solo seco
2027-02-05 20:00:00,26.02,60.52,11.01,60.18,florescimento,32,165.46,65.94,324.38,6.09,0,condicoes dentro do ideal
2030-04-25 09:00:00,18.17,89.16,0.0,72.27,colheita,96,143.28,42.48,391.38,5.98,3,proteger: umidade alta (risco de fungos)
2028-04-18 10:00:00,19.35,92.25,0.99,69.55,muda,22,186.24,36.8,258.13,5.81,3,proteger: umidade alta (risco de fungos)
2028-04-27 04:00:00,19.24,83.91,0.0,77.91,muda,24,236.01,43.29,192.8,5.46,3,proteger: umidade alta (risco de fungos)
2055-02-12 05:00:00,20.82,83.87,0.0,88.76,muda,26,233.2,56.14,252.8,6.35,2,reduzir irrigacao: solo encharcado
2053-01-18 19:00:00,32.73,42.11,10.2,53.89,muda,15,216.64,55.32,280.44,6.81,2,irrigar: solo seco
2026-06-07 23:00:00,18.37,85.5,10.24,72.16,muda,19,235.25,38.66,219.05,6.34,3,proteger: umidade alta (risco de fungos)
2031-11-01 07:00:00,17.45,91.29,0.0,78.27,muda,5,199.76,65.0,289.54,6.43,3,proteger: umidade alta (risco de fungos)
2026-11-11 10:00:00,16.32,64.59,1.98,77.68,frutificacao,82,152.46,59.36,333.95,4.88,1,corrigir pH fora da faixa ideal
2025-02-11 07:00:00,20.7,90.0,0.0,61.4,frutificacao,73,121.6,74.9,320.6,7.4,3,proteger: umidade alta (risco de fungos)
2030-01-27 08:00:00,18.89,89.14,0.0,69.86,colheita,114,141.15,59.06,330.26,6.52,3,proteger: umidade alta (risco de fungos)
2026-02-03 16:00:00,25.16,64.92,7.0,70.79,muda,25,214.87,49.11,150.25,6.11,1,corrigir potassio fora da faixa
2025-08-12 19:00:00,19.2,50.0,9.0,66.9,colheita,92,125.0,44.6,392.6,6.15,1,corrigir nitrogenio fora da faixa
2025-07-10 20:00:00,17.1,70.0,10.0,74.7,florescimento,41,181.8,63.9,287.8,6.04,0,condicoes dentro do ideal
2026-08-31 00:00:00,16.49,76.95,0.0,87.12,florescimento,46,198.08,40.68,187.78,6.39,2,reduzir irrigacao: solo encharcado
2026-06-08 09:00:00,16.57,95.99,0.0,67.7,muda,12,206.46,44.2,207.45,6.45,3,proteger: umidade alta (risco de fungos)
2026-01-12 06:00:00,20.01,73.93,0.0,78.05,colheita,115,126.19,46.07,317.92,6.44,1,corrigir nitrogenio fora da faixa
2029-09-29 17:00:00,31.98,18.95,7.93,52.54,frutificacao,89,193.81,57.14,255.12,5.35,2,irrigar: solo seco
2026-06-04 15:00:00,25.55,45.96,5.01,58.16,frutificacao,66,225.14,66.61,291.61,6.3,0,condicoes dentro do ideal
2026-11-09 01:00:00,16.11,85.68,0.0,78.28,florescimento,46,173.38,62.47,236.3,5.67,3,proteger: umidade alta (risco de fungos)
2030-05-10 06:00:00,16.29,92.38,0.0,70.56,florescimento,59,147.29,52.19,286.79,5.72,3,proteger: umidade alta (risco de fungos)
2025-12-09 07:00:00,20.4,87.0,0.0,80.3,frutificacao,84,192.3,60.4,284.3,6.48,3,proteger: umidade alta (risco de fungos)
2026-07-29 20:00:00,18.1,17.36,9.91,83.05,muda,24,231.69,40.68,203.17,6.21,1,corrigir potassio fora da faixa
2047-01-19 15:00:00,30.21,44.41,5.93,55.31,colheita,116,93.09,63.44,378.45,6.79,2,irrigar: solo seco
2026-12-17 19:00:00,17.27,80.29,9.18,73.71,florescimento,40,134.26,54.22,214.8,5.77,1,corrigir nitrogenio fora da faixa
2028-11-22 05:00:00,17.6,85.26,0.0,70.19,muda,15,188.9,57.3,215.89,5.44,3,proteger: umidade alta (risco de fungos)
2027-06-07 12:00:00,17.31,83.39,2.07,71.85,frutificacao,67,180.01,54.33,270.75,6.04,0,condicoes dentro do ideal
2028-12-23 14:00:00,30.98,32.73,4.98,50.77,muda,0,209.35,50.35,230.38,5.83,2,irrigar: solo seco
2025-04-08 16:00:00,25.6,50.0,7.0,55.1,muda,19,224.7,45.9,272.5,6.07,0,condicoes dentro do ideal
2025-12-05 16:00:00,29.2,37.0,8.0,58.6,muda,1,195.1,53.5,251.9,6.08,0,condicoes dentro do ideal
2027-04-14 08:00:00,19.13,99.82,0.0,100.0,muda,17,202.02,35.32,202.6,7.17,3,proteger: umidade alta (risco de fungos)
2025-01-29 16:00:00,20.3,91.0,7.0,83.9,frutificacao,86,152.9,61.9,371.5,6.54,3,proteger: umidade alta (risco de fungos)
2028-10-11 09:00:00,17.26,92.88,0.0,69.88,colheita,109,176.33,38.22,386.74,5.97,3,proteger: umidade alta (risco de fungos)
2026-10-13 02:00:00,21.33,61.56,0.0,75.02,muda,11,240.64,50.53,308.03,6.02,0,condicoes dentro do ideal
2025-05-28 11:00:00,20.8,57.0,1.0,68.8,frutificacao,71,112.8,64.9,319.9,5.54,1,corrigir nitrogenio fora da faixa
2037-07-13 12:00:00,15.75,59.32,1.99,84.51,florescimento,53,166.96,61.18,234.12,6.37,2,reduzir irrigacao: solo encharcado
2025-07-22 18:00:00,24.8,33.0,8.0,65.4,frutificacao,81,136.9,52.3,310.2,5.93,1,corrigir nitrogenio fora da faixa
2026-07-27 14:00:00,21.11,54.71,4.0,70.61,florescimento,54,177.72,60.03,248.97,5.3,1,corrigir pH fora da faixa ideal
2057-08-14 23:00:00,25.79,40.49,11.29,54.21,frutificacao,88,145.4,79.26,283.04,6.9,2,irrigar: solo seco
